model	deposition_date	method	resolution	distance_mean	distance_median
6uh5	2019-09-26	ELECTRON MICROSCOPY	None	1.5193778307435626	1.5196725298189957
6em1	2017-10-01	ELECTRON MICROSCOPY	None	1.5273183463935553	1.5288500811799173
5a32	2015-05-27	ELECTRON MICROSCOPY	None	1.5189737124341403	1.518337397116376
5l3p	2016-05-24	ELECTRON MICROSCOPY	None	1.5255556680627482	1.5257711882907725
6jiy	2019-02-24	ELECTRON MICROSCOPY	None	1.520190919803191	1.5203312432602316
6q06	2019-08-01	ELECTRON MICROSCOPY	None	1.5103765180806985	1.5100427617790722
6nf9	2018-12-19	ELECTRON MICROSCOPY	None	1.5206038268700337	1.5202999288584391
6q2s	2019-08-08	ELECTRON MICROSCOPY	None	1.5203703667850141	1.520491144896361
6oo4	2019-04-22	ELECTRON MICROSCOPY	None	1.5223060970343967	1.5223863062205145
5uj9	2017-01-17	ELECTRON MICROSCOPY	None	1.532922406590139	1.533173153839512
6h67	2018-07-26	ELECTRON MICROSCOPY	None	1.5216906281074343	1.52177836212612
6ib1	2018-11-28	ELECTRON MICROSCOPY	None	1.5214718287303408	1.521114435653706
5zwm	2018-05-16	ELECTRON MICROSCOPY	None	1.522642712946258	1.5223488843290123
5xxu	2017-07-05	ELECTRON MICROSCOPY	None	1.52948702627195	1.530299728133632
5mdy	2016-11-13	ELECTRON MICROSCOPY	None	1.5222053257205026	1.5233034534963301
6owo	2019-05-10	ELECTRON MICROSCOPY	None	1.5194911522566752	1.5195917501148717
6pxv	2019-07-27	ELECTRON MICROSCOPY	None	1.5223724185568839	1.520677989357835
6o7e	2019-03-07	ELECTRON MICROSCOPY	None	1.5222339370232378	1.5224098077943173
6izl	2018-12-19	ELECTRON MICROSCOPY	None	1.5208665616584418	1.5210815323539406
6c0w	2018-01-02	ELECTRON MICROSCOPY	None	1.521261180450533	1.5214170204709607
5nsr	2017-04-26	ELECTRON MICROSCOPY	None	1.5230231738374784	1.5232951310159013
6rdh	2019-04-12	ELECTRON MICROSCOPY	None	1.519128946255584	1.5192685286268273
6bdf	2017-10-23	ELECTRON MICROSCOPY	None	1.5168451017223454	1.5169357905469614
6mst	2018-10-18	ELECTRON MICROSCOPY	None	1.5194194118451696	1.5196941101255454
6e7z	2018-07-27	ELECTRON MICROSCOPY	None	1.519016297886132	1.5187787664161885
6jrr	2019-04-05	ELECTRON MICROSCOPY	None	1.5192424301338132	1.5193482246775853
6nus	2019-02-01	ELECTRON MICROSCOPY	None	1.5205857466549466	1.5207093650530368
6j8e	2019-01-18	ELECTRON MICROSCOPY	None	1.5216973953143011	1.5220398761840677
5urf	2017-02-10	ELECTRON MICROSCOPY	None	1.5195036029099365	1.518570481761988
3jc6	2015-11-24	ELECTRON MICROSCOPY	None	1.5255720934246626	1.5256484909038464
6u7k	2019-09-03	ELECTRON MICROSCOPY	None	1.5259694390572485	1.526806015155133
6qjh	2019-01-24	ELECTRON MICROSCOPY	None	1.5275265195643961	1.5274303454719391
6k15	2019-05-09	ELECTRON MICROSCOPY	None	1.5229596203556077	1.5227973557426564
4uy8	2014-08-29	ELECTRON MICROSCOPY	None	1.5221554640193782	1.5219208217846036
6uge	2019-09-26	ELECTRON MICROSCOPY	None	1.5212646425166048	1.521287505325713
5gam	2015-12-15	ELECTRON MICROSCOPY	None	1.5267590664957744	1.526741130635267
6n3q	2018-11-16	ELECTRON MICROSCOPY	None	1.5226512910233323	1.522707782339452
6b0x	2017-09-15	ELECTRON MICROSCOPY	None	1.5326781277834987	1.5325698543948079
6fq6	2018-02-13	ELECTRON MICROSCOPY	None	1.5210002829967668	1.5211302552560233
6bwx	2017-12-15	ELECTRON MICROSCOPY	None	1.5185257939688535	1.5185568443481186
6j2q	2019-01-02	ELECTRON MICROSCOPY	None	1.5227019983986714	1.5230638118308732
6nt3	2019-01-28	ELECTRON MICROSCOPY	None	1.5207933234741289	1.5209881137941044
6j0m	2018-12-24	ELECTRON MICROSCOPY	None	1.519497243116891	1.51926896646717
6s7o	2019-07-05	ELECTRON MICROSCOPY	None	1.5227729719963894	1.5225014339399014
5u4i	2016-12-04	ELECTRON MICROSCOPY	None	1.5294688158744179	1.529855571588524
6q3g	2018-12-04	ELECTRON MICROSCOPY	None	1.5207252077761764	1.520831630400547
5lzu	2016-10-02	ELECTRON MICROSCOPY	None	1.5227125667659964	1.5229320801874076
6n06	2018-11-06	ELECTRON MICROSCOPY	None	1.5211497149020563	1.5214874187360687
5h4p	2016-11-01	ELECTRON MICROSCOPY	None	1.519421851215838	1.51961210964132
6qpb	2019-02-13	ELECTRON MICROSCOPY	None	1.5229532749095536	1.52290973547344
6scl	2019-07-24	ELECTRON MICROSCOPY	None	1.5202767002437458	1.5202834063382216
6eyc	2017-11-11	ELECTRON MICROSCOPY	None	1.5227473819031014	1.5225926185377379
6s61	2019-07-02	ELECTRON MICROSCOPY	None	1.527339859005672	1.525659838566505
6iij	2018-10-06	ELECTRON MICROSCOPY	None	1.5189434367376589	1.5189804531288291
6o85	2019-03-08	ELECTRON MICROSCOPY	None	1.523277229818243	1.5232958892117083
6dff	2018-05-14	ELECTRON MICROSCOPY	None	1.5216044752635902	1.5216519481711899
6t17	2019-10-03	ELECTRON MICROSCOPY	None	1.5232708625973088	1.5233511996060276
6iic	2018-10-04	ELECTRON MICROSCOPY	None	1.519517496336559	1.5194887180431447
6n25	2018-11-12	ELECTRON MICROSCOPY	None	1.5202071387177438	1.5201352102652894
5ipi	2016-03-09	ELECTRON MICROSCOPY	None	1.518390209624914	1.5185541146148902
6b0i	2017-09-14	ELECTRON MICROSCOPY	None	1.5211146937822626	1.5210200923231794
6ah3	2018-08-16	ELECTRON MICROSCOPY	None	1.524123025833021	1.5242453913919949
