model	date	method	resolution	distance_mean	distance_median
2tpsAH	1999-03-09	x-ray diffraction	1.25	1.522940566880389	1.5225153544782954
1es5H	2000-04-07	x-ray diffraction	1.4	1.526088233838936	1.5260052511865712
1nlsH	1997-01-28	x-ray diffraction	0.94	1.5270225827260064	1.529110954348207
1tfeH	1996-04-16	x-ray diffraction	1.7	1.529001011172908	1.529542770648297
1qftAH	1999-04-14	x-ray diffraction	1.25	1.5262096611326008	1.5271093813715881
1ftrAH	1997-09-21	x-ray diffraction	1.7	1.5252189378584347	1.5250585121587743
1fusH	1993-01-18	x-ray diffraction	1.3	1.5328951545014702	1.5335698114357572
1gsoH	1998-09-08	x-ray diffraction	1.6	1.5284468508693285	1.529035524543316
1axnH	1995-08-21	x-ray diffraction	1.78	1.5245722523793406	1.5246053678340652
7odcH	1999-03-03	x-ray diffraction	1.6	1.5230814214336943	1.5228419626743779
1uxyH	1996-11-08	x-ray diffraction	1.8	1.5209441479884152	1.5203504522042972
3silH	1998-07-07	x-ray diffraction	1.05	1.521565252606146	1.5216959010540223
2bopAH	1994-01-13	x-ray diffraction	1.7	1.5222445890486032	1.522674695929869
1qddH	1999-05-20	x-ray diffraction	1.3	1.5223129946954215	1.5227080443801797
1a8iH	1998-03-25	x-ray diffraction	1.78	1.5264476253352417	1.5255108356335474
1tx4AH	1997-07-29	x-ray diffraction	1.65	1.5279120169209144	1.5278434109586865
1qb7H	1999-04-30	x-ray diffraction	1.5	1.5269731631735008	1.527321942111513
1vfyH	1999-04-26	x-ray diffraction	1.15	1.5247288001047605	1.5251854475040183
19hcAH	1998-11-27	x-ray diffraction	1.8	1.5241635354043668	1.524208356566537
1msiH	1996-10-08	x-ray diffraction	1.25	1.519728644630413	1.5191749100269023
1c1kH	1999-07-22	x-ray diffraction	1.45	1.5260786137974587	1.526134724169503
1kapH	1995-06-08	x-ray diffraction	1.64	1.5259166792634113	1.5256055321930688
1ytbAH	1994-09-28	x-ray diffraction	1.8	1.5263190378565588	1.5276615610447315
3chbDH	1998-03-24	x-ray diffraction	1.25	1.5238607061499776	1.524901936684445
3sdhAH	1993-06-23	x-ray diffraction	1.4	1.5276365980115654	1.526390635992237
1mfmH	1999-04-16	x-ray diffraction	1.02	1.5198207811276814	1.5211143792289172
1qgqH	1999-05-04	x-ray diffraction	1.5	1.5244176662631383	1.5241786492241887
1koeH	1998-01-22	x-ray diffraction	1.5	1.5261846948231472	1.5254891333539102
1bk0H	1998-07-14	x-ray diffraction	1.3	1.5224206127033895	1.522450235623406
1ammH	1996-03-20	x-ray diffraction	1.2	1.529543163443614	1.5312160305636937
1qh4AH	1999-05-11	x-ray diffraction	1.41	1.522240125459482	1.5223027379181406
